baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG
-0.3477781414985657,-0.5382930636405945,1000,844,-0.522491455078125,833,-0.5235327482223511
-0.3477781414985657,-0.5382930636405945,2000,1843,-0.46742135286331177,1835,-0.45521900057792664
-0.3477781414985657,-0.5382930636405945,3000,2829,-0.45845988392829895,2842,-0.460114061832428
-0.3477781414985657,-0.5382930636405945,4000,3861,-0.4837702512741089,3825,-0.4769994020462036
-0.3477781414985657,-0.5382930636405945,5000,4878,-0.4417511820793152,4827,-0.475792795419693
-0.3477781414985657,-0.5382930636405945,6000,5881,-0.45897915959358215,5867,-0.46457988023757935
-0.3477781414985657,-0.5382930636405945,7000,6901,-0.46340519189834595,6873,-0.46699896454811096
-0.3477781414985657,-0.5382930636405945,8000,7914,-0.4294860363006592,7866,-0.46996161341667175
-0.3477781414985657,-0.5382930636405945,9000,8912,-0.4002440869808197,8880,-0.4549223482608795
-0.3477781414985657,-0.5382930636405945,10000,9933,-0.399951308965683,9896,-0.4514950215816498
-0.3477781414985657,-0.5382930636405945,11000,10932,-0.4035118818283081,10896,-0.4528117775917053
-0.3477781414985657,-0.5382930636405945,12000,11936,-0.41099077463150024,11887,-0.4567538797855377
-0.3477781414985657,-0.5382930636405945,13000,12931,-0.4084663689136505,12892,-0.4277970790863037
-0.3477781414985657,-0.5382930636405945,14000,13927,-0.4040440320968628,13917,-0.44437944889068604
